feature_id,kind,section,design_elev_ft,terrain_min_ft,terrain_mean_ft,terrain_max_ft,delta_min_ft,delta_max_ft,protrusion_max_ft,protrusion_cells,riser_step_cells,depression_max_ft,depression_cells,footprint_cells,operation,cut_cy,fill_cy,note
tread_bend_r1,seating_tread,bend,610.83,610.83,610.92,611.86,0.0,1.03,0.0,0,19,0.0,0,217,no-op,0.0,0.0,
tread_bend_r2,seating_tread,bend,611.86,611.86,612.06,613.03,-0.0,1.17,0.0,0,39,0.0,0,231,no-op,0.0,0.0,
tread_bend_r3,seating_tread,bend,613.03,613.03,613.3,614.17,0.0,1.14,0.0,0,60,0.0,0,253,no-op,0.0,0.0,
tread_bend_r4,seating_tread,bend,614.17,614.17,614.17,614.17,-0.0,-0.0,0.0,0,0,0.0,0,255,no-op,0.0,0.0,
tread_bend_r6,seating_tread,bend,616.72,616.72,617.02,618.02,-0.0,1.3,0.0,0,63,0.0,0,273,no-op,0.0,0.0,
tread_bend_r7,seating_tread,bend,618.02,618.02,618.34,619.31,0.0,1.29,0.0,0,70,0.0,0,283,no-op,0.0,0.0,
tread_bend_r8,seating_tread,bend,619.31,619.31,619.97,622.01,-0.0,2.7,0.0,0,72,0.0,0,294,no-op,0.0,0.0,
tread_bend_r11,seating_tread,bend,623.4,622.01,623.44,624.78,-1.39,1.38,0.0,0,124,0.0,0,321,no-op,0.0,0.0,
tread_bend_r12,seating_tread,bend,624.78,624.78,624.91,626.3,0.0,1.52,0.0,0,28,0.0,0,333,no-op,0.0,0.0,
tread_bend_r13,seating_tread,bend,626.3,626.3,626.49,627.8,-0.0,1.5,0.0,0,45,0.0,0,347,no-op,0.0,0.0,
tread_bend_r14,seating_tread,bend,627.8,627.8,627.96,629.34,-0.0,1.54,0.0,0,37,0.0,0,358,no-op,0.0,0.0,
tread_bend_r15,seating_tread,bend,629.34,629.34,629.6,630.75,0.0,1.41,0.0,0,69,0.0,0,372,no-op,0.0,0.0,
tread_bend_r16,seating_tread,bend,630.75,630.75,630.9,632.24,0.0,1.49,0.0,0,39,0.0,0,380,no-op,0.0,0.0,
tread_bend_r17,seating_tread,bend,632.24,632.24,632.43,633.66,-0.0,1.42,0.0,0,53,0.0,0,393,no-op,0.0,0.0,
tread_bend_r18,seating_tread,bend,633.66,633.66,633.66,633.66,-0.0,-0.0,0.0,0,0,0.0,0,407,no-op,0.0,0.0,
tread_east_r1,seating_tread,east,610.86,610.86,610.87,611.86,-0.0,1.0,0.0,0,2,0.0,0,169,no-op,0.0,0.0,
tread_east_r2,seating_tread,east,611.86,611.86,611.91,613.03,-0.0,1.17,0.0,0,9,0.0,0,194,no-op,0.0,0.0,
tread_east_r3,seating_tread,east,613.03,613.03,613.19,614.19,0.0,1.16,0.0,0,28,0.0,0,206,no-op,0.0,0.0,
tread_east_r4,seating_tread,east,614.19,614.19,614.19,614.19,0.0,0.0,0.0,0,0,0.0,0,211,no-op,0.0,0.0,
tread_east_r6,seating_tread,east,616.74,616.74,617.0,618.04,-0.0,1.3,0.0,0,46,0.0,0,233,no-op,0.0,0.0,
tread_east_r7,seating_tread,east,618.04,618.04,618.33,619.31,-0.0,1.27,0.0,0,55,0.0,0,244,no-op,0.0,0.0,
tread_east_r8,seating_tread,east,619.31,619.31,619.93,622.01,-0.0,2.7,0.0,0,58,0.0,0,252,no-op,0.0,0.0,
tread_east_r11,seating_tread,east,623.37,622.01,623.37,624.81,-1.36,1.44,0.0,0,116,0.0,0,280,no-op,0.0,0.0,
tread_east_r12,seating_tread,east,624.81,624.81,625.04,626.31,-0.0,1.5,0.0,0,44,0.0,0,288,no-op,0.0,0.0,
tread_east_r13,seating_tread,east,626.31,626.31,626.53,627.87,-0.0,1.56,0.0,0,43,0.0,0,300,no-op,0.0,0.0,
tread_east_r14,seating_tread,east,627.87,627.87,628.05,629.38,-0.0,1.51,0.0,0,36,0.0,0,310,no-op,0.0,0.0,
tread_east_r15,seating_tread,east,629.38,629.38,629.64,630.75,0.0,1.37,0.0,0,61,0.0,0,317,no-op,0.0,0.0,
tread_east_r16,seating_tread,east,630.75,630.75,630.92,632.27,0.0,1.52,0.0,0,36,0.0,0,331,no-op,0.0,0.0,
tread_east_r17,seating_tread,east,632.27,632.27,632.5,633.67,0.0,1.4,0.0,0,54,0.0,0,336,no-op,0.0,0.0,
tread_east_r18,seating_tread,east,633.67,633.67,633.67,633.67,-0.0,-0.0,0.0,0,0,0.0,0,345,no-op,0.0,0.0,
tread_south_r1,seating_tread,south,610.81,610.81,610.81,610.81,-0.0,-0.0,0.0,0,0,0.0,0,222,no-op,0.0,0.0,
tread_south_r2,seating_tread,south,611.87,611.87,612.07,613.03,-0.0,1.16,0.0,0,43,0.0,0,252,no-op,0.0,0.0,
tread_south_r3,seating_tread,south,613.03,613.03,613.28,614.19,0.0,1.16,0.0,0,58,0.0,0,265,no-op,0.0,0.0,
tread_south_r4,seating_tread,south,614.19,614.19,614.19,614.19,0.0,0.0,0.0,0,0,0.0,0,287,no-op,0.0,0.0,
tread_south_r6,seating_tread,south,616.73,616.73,617.06,618.06,-0.0,1.33,0.0,0,77,0.0,0,312,no-op,0.0,0.0,
tread_south_r7,seating_tread,south,618.06,618.06,618.31,619.3,-0.0,1.24,0.0,0,65,0.0,0,318,no-op,0.0,0.0,
tread_south_r8,seating_tread,south,619.3,619.3,619.92,622.01,-0.0,2.71,0.0,0,76,0.0,0,333,no-op,0.0,0.0,
tread_south_r11,seating_tread,south,623.38,622.01,623.44,624.8,-1.37,1.42,0.0,0,162,0.0,0,367,no-op,0.0,0.0,
tread_south_r12,seating_tread,south,624.8,624.8,625.03,626.3,-0.0,1.5,0.0,0,59,0.0,0,381,no-op,0.0,0.0,
tread_south_r13,seating_tread,south,626.3,626.3,626.59,627.84,-0.0,1.54,0.0,0,76,0.0,0,397,no-op,0.0,0.0,
tread_south_r14,seating_tread,south,627.84,627.84,628.09,629.34,0.0,1.5,0.0,0,70,0.0,0,412,no-op,0.0,0.0,
tread_south_r15,seating_tread,south,629.34,629.34,629.67,630.75,0.0,1.41,0.0,0,99,0.0,0,426,no-op,0.0,0.0,
tread_south_r16,seating_tread,south,630.75,630.75,631.0,632.3,0.0,1.55,0.0,0,71,0.0,0,433,no-op,0.0,0.0,
tread_south_r17,seating_tread,south,632.3,632.3,632.57,633.67,-0.0,1.37,0.0,0,88,0.0,0,448,no-op,0.0,0.0,
tread_south_r18,seating_tread,south,633.67,633.67,633.67,633.67,-0.0,-0.0,0.0,0,0,0.0,0,465,no-op,0.0,0.0,
zone_cross_aisle,cross_aisle,,622.01,622.01,622.01,622.01,0.0,0.0,0.0,0,0,0.0,0,1661,no-op,0.0,0.0,
zone_stage_core,stage_structure,,612.5,608.28,609.78,610.22,-4.22,-2.28,0.0,0,0,4.22,2379,2522,fill,0.0,239.12,"612.5 ft is a STRUCTURE (deck) over existing grade ~609.78 ft; fill_cy is the void under the deck, not earthwork (DESIGN_CANON Rule 9, refit OPEN)"
zone_stage_shoulder_left,stage_structure,,612.5,608.32,609.66,611.01,-4.18,-1.49,0.0,0,18,4.18,335,403,fill,0.0,36.3,"612.5 ft is a STRUCTURE (deck) over existing grade ~609.66 ft; fill_cy is the void under the deck, not earthwork (DESIGN_CANON Rule 9, refit OPEN)"
zone_stage_shoulder_right,stage_structure,,612.5,609.54,609.77,610.08,-2.96,-2.42,0.0,0,0,2.96,349,409,fill,0.0,35.35,"612.5 ft is a STRUCTURE (deck) over existing grade ~609.77 ft; fill_cy is the void under the deck, not earthwork (DESIGN_CANON Rule 9, refit OPEN)"
zone_orchestra_event_floor,event_floor,,612.5,609.37,609.95,611.87,-3.13,-0.63,0.0,0,235,3.13,2064,2436,fill,0.0,204.34,"612.5 ft is a STRUCTURE (deck) over existing grade ~609.95 ft; fill_cy is the void under the deck, not earthwork (DESIGN_CANON Rule 9, refit OPEN)"
ada_route_arrival_to_cross_aisle,ada_route,public_primary,,619.31,629.29,638.88,,,,,,,,3350,corridor_regrade_concept,,,sloped corridor; design grade 4.19% drop 15.3 ft over 365.3 ft; ramp volumes in analysis/scenarioE_civic/earthwork.csv
ada_route_arrival_to_floor,ada_route,public_secondary,,608.2,625.53,638.88,,,,,,,,3090,corridor_regrade_concept,,,sloped corridor; design grade 7.52% drop 24.8 ft over 330.1 ft; ramp volumes in analysis/scenarioE_civic/earthwork.csv
ada_route_cross_aisle_to_wc_cluster,ada_route,distribution,,622.01,622.38,623.4,,,,,,,,212,corridor_regrade_concept,,,sloped corridor; design grade 0.0% drop 0.0 ft over 15.3 ft; ramp volumes in analysis/scenarioE_civic/earthwork.csv
ada_route_floor_to_wc_cluster,ada_route,distribution,,609.44,609.72,610.39,,,,,,,,196,corridor_regrade_concept,,,sloped corridor; design grade 0.0% drop 0.0 ft over 14.0 ft; ramp volumes in analysis/scenarioE_civic/earthwork.csv
ada_route_cross_aisle_to_egress,ada_route,public_secondary,,618.5,629.45,640.45,,,,,,,,4073,corridor_regrade_concept,,,sloped corridor; design grade 3.85% drop -16.9 ft over 439.6 ft; ramp volumes in analysis/scenarioE_civic/earthwork.csv
ada_route_floor_to_egress,ada_route,public_secondary,,608.31,629.44,640.56,,,,,,,,3958,corridor_regrade_concept,,,sloped corridor; design grade 6.18% drop -26.4 ft over 427.6 ft; ramp volumes in analysis/scenarioE_civic/earthwork.csv
ada_route_service_to_stage,ada_route,service,,609.48,609.61,610.0,,,,,,,,171,corridor_regrade_concept,,,sloped corridor; design grade 0.0% drop 0.0 ft over 10.8 ft; ramp volumes in analysis/scenarioE_civic/earthwork.csv
ada_route_park_to_floor,ada_route,public_primary,,608.22,611.63,618.06,,,,,,,,2338,corridor_regrade_concept,,,sloped corridor; design grade 2.14% drop 5.3 ft over 246.2 ft; ramp volumes in analysis/scenarioE_civic/earthwork.csv
