scenario,row,zone,sections,clipped,arc_ft,theoretical_arc_ft,arc_pct_of_full,total_seats,C_mm_axis,cut_cy,fill_cy,net_cy,gross_cy,max_cut_ft,max_fill_ft,lod_sqft,topsoil_cy,usable_fill_cy,cells_over_05_cut,cells_over_05_fill,cells_over_10_cut,cells_over_10_fill
A_terrain,1,forecourt,3,no,131.6,178.0,74,57,,1.9,2.8,0.8,4.7,0.66,0.71,518,9.6,1.8,12,19,0,0
B_terrain_clip,1,forecourt,3,no,131.6,178.0,74,57,,1.9,2.7,0.8,4.6,0.66,0.5,518,9.6,1.8,12,0,0,0
C_sightline,1,forecourt,3,no,131.6,178.0,74,57,,2.1,2.6,0.5,4.7,0.67,0.69,522,9.7,2.0,12,14,0,0
A_terrain,2,forecourt,3,no,140.6,187.9,75,62,198,3.4,4.2,0.8,7.7,0.79,0.93,621,11.5,3.2,59,72,0,0
B_terrain_clip,2,forecourt,3,no,140.6,187.9,75,62,198,3.4,3.9,0.5,7.4,0.79,0.5,621,11.5,3.2,59,0,0,0
C_sightline,2,forecourt,3,no,140.6,187.9,75,62,198,3.8,3.9,0.1,7.7,0.82,0.9,620,11.5,3.6,74,61,0,0
A_terrain,3,forecourt,3,no,149.2,196.9,76,65,220,4.8,4.8,0.1,9.6,1.06,1.08,678,12.6,4.6,103,87,3,2
B_terrain_clip,3,forecourt,3,no,149.2,196.9,76,65,220,4.8,4.3,-0.5,9.1,1.06,0.5,678,12.6,4.6,103,0,3,0
C_sightline,3,forecourt,3,no,149.2,196.9,76,65,220,4.5,5.1,0.6,9.6,1.05,1.08,672,12.4,4.3,95,97,2,2
A_terrain,4,forecourt,3,no,155.3,205.5,76,68,207,4.7,5.6,0.9,10.2,1.04,1.09,699,12.9,4.5,94,119,2,5
B_terrain_clip,4,forecourt,3,no,155.3,205.5,76,68,207,4.7,4.7,0.0,9.3,1.04,0.5,699,12.9,4.5,94,0,2,0
C_sightline,4,forecourt,3,no,155.3,205.5,76,68,207,5.0,5.2,0.3,10.2,1.09,1.08,700,13.0,4.8,106,110,3,4
A_terrain,6,civic,3,no,169.2,221.6,76,74,436,6.1,6.1,-0.0,12.2,1.32,1.21,773,14.3,5.8,145,135,6,5
B_terrain_clip,6,civic,3,no,169.2,221.6,76,74,436,6.1,5.2,-0.9,11.3,1.32,0.5,773,14.3,5.8,145,0,6,0
C_sightline,6,civic,3,no,169.2,221.6,76,74,436,6.1,6.1,0.1,12.2,1.28,1.19,774,14.3,5.8,143,136,6,3
A_terrain,7,civic,3,no,175.1,229.3,76,77,211,5.8,7.3,1.6,13.1,1.03,1.27,795,14.7,5.5,138,184,2,10
B_terrain_clip,7,civic,3,no,175.1,229.3,76,77,211,5.8,5.8,0.0,11.6,1.03,0.5,795,14.7,5.5,138,0,2,0
C_sightline,7,civic,3,no,175.1,229.3,76,77,211,5.9,7.2,1.3,13.1,1.04,1.25,794,14.7,5.6,142,182,2,10
A_terrain,8,civic,3,no,180.9,237.5,76,80,189,6.0,7.7,1.8,13.7,1.18,1.2,827,15.3,5.7,130,222,6,13
B_terrain_clip,8,civic,3,no,180.9,237.5,76,80,189,6.0,6.2,0.2,12.1,1.18,0.5,827,15.3,5.7,130,0,6,0
C_sightline,8,civic,3,no,180.9,237.5,76,80,189,6.5,7.2,0.8,13.7,1.2,1.17,827,15.3,6.2,147,197,8,9
A_terrain,9,civic,3,no,187.3,245.3,76,82,188,5.7,8.3,2.6,13.9,1.33,1.21,848,15.7,5.4,117,216,4,19
B_terrain_clip,9,civic,3,no,187.3,245.3,76,82,188,5.7,6.3,0.6,11.9,1.33,0.5,848,15.7,5.4,117,0,4,0
C_sightline,9,civic,3,no,187.3,245.3,76,82,188,6.2,7.7,1.5,13.9,1.41,1.2,852,15.8,5.9,127,196,4,14
A_terrain,10,civic,3,no,194.8,254.3,77,87,180,7.3,8.4,1.1,15.6,1.31,1.22,881,16.3,6.9,185,212,8,21
B_terrain_clip,10,civic,3,no,194.8,254.3,77,87,180,7.3,6.4,-0.9,13.7,1.31,0.5,881,16.3,6.9,185,0,8,0
C_sightline,10,civic,3,no,194.8,254.3,77,87,180,7.7,7.9,0.3,15.6,1.34,1.2,873,16.2,7.3,200,200,9,17
A_terrain,11,civic,3,no,200.7,263.1,76,88,176,7.4,7.9,0.5,15.3,1.2,1.37,898,16.6,7.0,188,198,7,22
B_terrain_clip,11,civic,3,no,200.7,263.1,76,88,176,7.4,6.2,-1.2,13.6,1.2,0.5,898,16.6,7.0,188,0,7,0
C_sightline,11,civic,3,no,200.7,263.1,76,88,176,7.4,8.0,0.6,15.3,1.19,1.36,900,16.7,7.0,184,198,7,22
A_terrain,12,civic,3,no,207.9,271.6,77,91,172,7.9,8.9,1.0,16.8,1.22,1.34,954,17.7,7.5,189,242,12,16
B_terrain_clip,12,civic,3,no,207.9,271.6,77,91,172,7.9,6.9,-1.0,14.8,1.22,0.5,954,17.7,7.5,189,0,12,0
C_sightline,12,civic,3,no,207.9,271.6,77,91,172,7.6,9.3,1.7,16.9,1.18,1.33,956,17.7,7.2,180,244,10,19
A_terrain,13,civic,3,no,215.7,280.4,77,95,192,7.9,9.4,1.4,17.3,1.26,1.54,1003,18.6,7.5,189,230,17,28
B_terrain_clip,13,civic,3,no,215.7,280.4,77,95,192,7.9,7.3,-0.7,15.2,1.26,0.5,1003,18.6,7.5,189,0,17,0
C_sightline,13,civic,3,no,215.7,280.4,77,95,192,8.1,9.2,1.0,17.3,1.28,1.56,997,18.5,7.7,196,226,13,27
A_terrain,14,civic,3,no,223.6,290.3,77,99,152,7.3,9.8,2.5,17.2,1.08,1.24,1007,18.6,6.9,174,245,8,45
B_terrain_clip,14,civic,3,no,223.6,290.3,77,99,152,7.3,7.3,-0.0,14.6,1.08,0.5,1007,18.6,6.9,174,0,8,0
C_sightline,14,civic,3,no,223.6,290.3,77,99,152,7.6,9.6,2.0,17.2,1.1,1.25,1003,18.6,7.2,181,241,7,37
A_terrain,15,civic,3,no,231.4,300.1,77,102,144,8.4,10.2,1.8,18.6,1.34,1.41,1056,19.6,8.0,219,256,10,28
B_terrain_clip,15,civic,3,no,231.4,300.1,77,102,144,8.4,7.7,-0.7,16.1,1.34,0.5,1056,19.6,8.0,219,0,10,0
C_sightline,15,civic,3,no,231.4,300.1,77,102,144,8.3,10.3,2.0,18.6,1.36,1.43,1049,19.4,7.9,215,252,9,29
A_terrain,16,civic,3,no,237.6,308.7,77,105,142,7.9,10.0,2.1,17.8,1.2,1.5,1062,19.7,7.5,180,249,12,28
B_terrain_clip,16,civic,3,no,237.6,308.7,77,105,142,7.9,7.7,-0.2,15.6,1.2,0.5,1062,19.7,7.5,180,0,12,0
C_sightline,16,civic,3,no,237.6,308.7,77,105,142,8.1,9.8,1.7,17.8,1.21,1.48,1064,19.7,7.7,188,245,13,28
A_terrain,17,civic,3,no,244.4,319.0,77,108,117,8.2,10.7,2.4,18.9,1.2,1.47,1114,20.6,7.8,199,281,4,20
B_terrain_clip,17,civic,3,no,244.4,319.0,77,108,117,8.2,8.2,-0.0,16.5,1.2,0.5,1114,20.6,7.8,199,0,4,0
C_sightline,17,civic,3,no,244.4,319.0,77,108,117,8.5,10.4,1.9,18.9,1.19,1.45,1107,20.5,8.1,207,275,6,16
A_terrain,18,civic,3,no,252.2,328.4,77,112,104,8.5,10.5,2.0,19.1,1.33,1.29,1151,21.3,8.1,188,268,16,22
B_terrain_clip,18,civic,3,no,252.2,328.4,77,112,104,8.5,8.4,-0.1,17.0,1.33,0.5,1151,21.3,8.1,188,0,16,0
C_sightline,18,civic,3,no,252.2,328.4,77,112,104,8.6,10.4,1.8,19.0,1.33,1.31,1153,21.4,8.2,197,265,16,21
A_terrain,19,civic,3,no,258.9,338.2,77,114,86,7.8,10.8,3.1,18.6,1.18,1.28,1167,21.6,7.4,175,275,6,21
B_terrain_clip,19,civic,3,no,258.9,338.2,77,114,86,7.8,8.5,0.8,16.3,1.18,0.5,1167,21.6,7.4,175,0,6,0
C_sightline,19,civic,3,no,258.9,338.2,77,114,86,7.8,10.9,3.1,18.6,1.17,1.28,1174,21.7,7.4,169,274,6,21
A_terrain,20,civic,3,no,269.5,348.9,77,119,55,8.2,10.8,2.5,19.0,1.22,1.38,1216,22.5,7.8,165,267,6,9
B_terrain_clip,20,civic,3,no,269.5,348.9,77,119,55,8.2,9.0,0.7,17.2,1.22,0.5,1216,22.5,7.8,165,0,6,0
C_sightline,20,civic,3,no,269.5,348.9,77,119,55,8.3,10.7,2.3,19.0,1.22,1.38,1217,22.5,7.9,167,262,6,9
A_terrain,21,civic,1,yes,90.3,359.2,25,40,31,2.6,3.5,0.8,6.1,1.06,1.05,416,7.7,2.5,44,80,1,2
B_terrain_clip,21,civic,1,yes,90.3,359.2,25,40,31,2.6,2.9,0.3,5.6,1.06,0.5,416,7.7,2.5,44,0,1,0
C_sightline,21,civic,1,yes,90.3,359.2,25,40,31,3.0,3.1,0.2,6.1,1.1,1.01,420,7.8,2.8,56,68,3,1
A_terrain,22,civic,1,yes,92.5,368.0,25,41,44,2.6,3.6,1.0,6.2,0.95,1.0,423,7.8,2.5,51,82,0,0
B_terrain_clip,22,civic,1,yes,92.5,368.0,25,41,44,2.6,3.1,0.5,5.7,0.95,0.5,423,7.8,2.5,51,0,0,0
C_sightline,22,civic,1,yes,92.5,368.0,25,41,44,2.8,3.4,0.6,6.2,0.98,0.97,425,7.9,2.7,54,75,0,0
A_terrain,23,civic,1,yes,94.7,377.8,25,42,7,2.7,3.4,0.7,6.2,0.93,1.0,423,7.8,2.6,55,82,0,1
B_terrain_clip,23,civic,1,yes,94.7,377.8,25,42,7,2.7,2.9,0.2,5.6,0.93,0.5,423,7.8,2.6,55,0,0,0
C_sightline,23,civic,1,yes,94.7,377.8,25,42,7,2.8,3.4,0.6,6.2,0.93,1.0,424,7.9,2.7,56,80,0,0
A_terrain,24,civic,1,yes,97.8,387.7,25,43,42,2.5,3.7,1.2,6.2,0.95,1.19,433,8.0,2.4,51,85,0,2
B_terrain_clip,24,civic,1,yes,97.8,387.7,25,43,42,2.5,3.1,0.6,5.6,0.95,0.5,433,8.0,2.4,51,0,0,0
C_sightline,24,civic,1,yes,97.8,387.7,25,43,42,2.5,3.7,1.1,6.2,0.95,1.19,432,8.0,2.4,52,84,0,2
A_terrain,25,civic,1,yes,99.2,395.8,25,44,28,2.4,3.1,0.7,5.5,0.69,1.03,440,8.1,2.3,33,65,0,1
B_terrain_clip,25,civic,1,yes,99.2,395.8,25,44,28,2.4,2.6,0.3,5.0,0.69,0.5,440,8.1,2.3,33,0,0,0
C_sightline,25,civic,1,yes,99.2,395.8,25,44,28,2.4,3.1,0.7,5.5,0.69,1.02,440,8.1,2.3,33,65,0,1
